User,Mystery,Romance,Horror,Sci-Fi,Musical,Film-Noir,Crime,Drama,Fantasy,Animation,Adventure,Children,Action,Comedy,Documentary,War,Thriller,Western
11,6,15,12,23,7,1,5,13,4,1,24,3,30,28,0,3,21,0
10,9,47,2,3,1,3,15,105,8,1,6,5,11,31,0,10,16,1
13,5,26,17,19,9,0,16,50,16,5,23,13,42,68,0,8,24,4
12,6,7,8,12,0,0,5,26,6,4,10,3,12,16,0,2,16,1
14,1,26,2,10,14,0,4,25,25,13,34,28,19,61,1,0,3,2
17,8,8,9,14,1,2,13,22,9,1,16,4,20,14,0,5,27,2
16,2,3,8,32,0,1,4,9,9,1,19,4,24,8,0,1,15,0
18,18,79,29,40,17,1,60,150,43,16,82,35,147,204,0,27,110,7
1,0,5,0,5,3,0,2,6,2,4,6,7,10,11,0,2,5,0
3,4,12,0,0,1,1,3,20,3,2,6,2,7,11,0,6,6,3
2,1,4,1,6,1,0,1,7,1,0,10,1,14,4,0,3,7,1
5,4,26,6,8,4,1,11,64,4,1,8,4,5,29,0,6,14,0
4,0,8,1,8,3,0,5,14,5,3,13,5,17,19,0,3,11,3
7,23,17,7,16,3,20,24,40,3,3,20,4,15,30,1,1,42,16
6,1,6,2,14,0,1,4,17,5,1,15,0,28,11,0,2,17,1
9,4,6,1,3,3,1,6,11,2,1,3,0,2,14,0,2,7,0
8,50,94,112,170,17,5,138,228,86,26,189,41,339,338,2,29,271,11
